Source,Target,Type,Id,Label,Weight,Color
foro_todofutbol,foro_todofutbol,Directed,1,,1,"#000000"
foro_todofutbol,AlfredoCoronis,Directed,2,,0.5,"#000000"
foro_todofutbol,MartVelasquez,Directed,4,,1,"#000000"
foro_todofutbol,Hectorcha92,Directed,5,,1,"#000000"
foro_todofutbol,gregarces,Directed,6,,1,"#000000"
foro_todofutbol,Jdsm2609,Directed,7,,1,"#000000"
foro_todofutbol,SeleVinotinto,Directed,8,,2,"#000000"
foro_todofutbol,AlfreDesignOK,Directed,9,,2,"#000000"
miguel28gangel,klon_perez,Directed,10,,0.5,"#000000"
FutbolAnz,FutbolAnz,Directed,13,,1,"#000000"
edgardo0512,CaracasFC1967,Directed,14,,0.5,"#000000"
666rjrv,luistorres167,Directed,16,,0.5,"#000000"
RichardZapata8,SOLOVENEX_,Directed,18,,0.5,"#000000"
RichardZapata8,RichardMendezTV,Directed,19,,0.5,"#000000"
correajorge,dosisdepor710,Directed,21,,0.5,"#000000"
correajorge,CONMEBOL,Directed,23,,2,"#000000"
luiyi70400222,VTVcanal8,Directed,24,,0.5,"#000000"
LeafarPetit,JAntonioQ_,Directed,27,,0.5,"#000000"
LeafarPetit,pulidojorge,Directed,29,,1,"#000000"
LaDivinaDiva,luistorres167,Directed,30,,0.5,"#000000"
LaDivinaDiva,ftrevison,Directed,32,,1,"#000000"
LaDivinaDiva,AlejandroSauceN,Directed,33,,1,"#000000"
luistorres167,LaDivinaDiva,Directed,35,,1,"#000000"
Inferno_Milans,klon_perez,Directed,36,,0.5,"#000000"
malleakike,klon_perez,Directed,38,,0.5,"#000000"
malleakike,zuricht94,Directed,39,,0.5,"#000000"
lindurten,klon_perez,Directed,41,,0.5,"#000000"
SotoCaldex,MoralesGabriel_,Directed,43,,2,"#000000"
SotoCaldex,AlfredoCoronis,Directed,44,,0.5,"#000000"
SotoCaldex,Naranjazos10,Directed,45,,0.5,"#000000"
SotoCaldex,ManoloDavilatv,Directed,46,,0.5,"#000000"
AngelGTP,SOLOVENEX_,Directed,48,,0.5,"#000000"
frankdelgadojim,SOLOVENEX_,Directed,50,,0.5,"#000000"
ojec1234,klon_perez,Directed,52,,2,"#000000"
ojec1234,josezambrano01,Directed,53,,0.5,"#000000"
ojec1234,foro_todofutbol,Directed,54,,0.5,"#000000"
ojec1234,LuisMed86143055,Directed,55,,0.5,"#000000"
ojec1234,FelipeLotasReal,Directed,56,,0.5,"#000000"
ojec1234,Tonymarti69,Directed,57,,0.5,"#000000"
ojec1234,AlheXxX2011,Directed,58,,0.5,"#000000"
ojec1234,Alejandroloompz,Directed,59,,0.5,"#000000"
ojec1234,Riccimont,Directed,60,,0.5,"#000000"
ojec1234,laprensalara,Directed,61,,0.5,"#000000"
ojec1234,conexgoleadora,Directed,62,,0.5,"#000000"
ojec1234,Naranjazos10,Directed,63,,0.5,"#000000"
ojec1234,TRKSports,Directed,64,,0.5,"#000000"
ojec1234,dt_vzla,Directed,65,,0.5,"#000000"
ojec1234,RaulZambrano7,Directed,66,,0.5,"#000000"
ojec1234,edgarddeportes,Directed,67,,0.5,"#000000"
ojec1234,tenordelgol,Directed,68,,0.5,"#000000"
ojec1234,cirotremola,Directed,69,,0.5,"#000000"
ojec1234,TeranZain,Directed,70,,0.5,"#000000"
AntonioJQR,EsRojas,Directed,72,,0.5,"#000000"
AntonioJQR,elestimulo,Directed,74,,2,"#000000"
supernova_2010,klon_perez,Directed,75,,0.5,"#000000"
supernova_2010,Naranjazos10,Directed,76,,0.5,"#000000"
supernova_2010,hiltonroberto,Directed,77,,0.5,"#000000"
juanjose3736076,SOLOVENEX_,Directed,80,,0.5,"#000000"
juanjose3736076,klon_perez,Directed,81,,0.5,"#000000"
juanjose3736076,pulidojorge,Directed,82,,1,"#000000"
juanjose3736076,foro_todofutbol,Directed,83,,0.5,"#000000"
juanjose3736076,Metropolitanos_,Directed,84,,0.5,"#000000"
juanjose3736076,juanjose3736076,Directed,85,,0.5,"#000000"
marquezedgar1,SOLOVENEX_,Directed,87,,0.5,"#000000"
marquezedgar1,klon_perez,Directed,88,,0.5,"#000000"
marcanbal,JAntonioQ_,Directed,91,,0.5,"#000000"
AntonioVctorSo1,klon_perez,Directed,94,,1,"#000000"
AntonioVctorSo1,TrapieLLo,Directed,95,,1,"#000000"
David2095_Sport,SOLOVENEX_,Directed,96,,0.5,"#000000"
David2095_Sport,klon_perez,Directed,97,,0.5,"#000000"
David2095_Sport,RichardMendezTV,Directed,98,,0.5,"#000000"
gdso02,SOLOVENEX_,Directed,101,,0.5,"#000000"
gdso02,Tomapapa,Directed,102,,0.5,"#000000"
gdso02,foro_todofutbol,Directed,103,,0.5,"#000000"
gdso02,ManoloDavilaS,Directed,105,,0.5,"#000000"
gdso02,PumaRodriguezz,Directed,106,,0.5,"#000000"
gdso02,edgarjosmartin2,Directed,107,,1,"#000000"
Ignacio250429,SOLOVENEX_,Directed,108,,0.5,"#000000"
LuisAlejandroVM,MoralesGabriel_,Directed,110,,2,"#000000"
LuisAlejandroVM,nookier,Directed,111,,0.5,"#000000"
LuisAlejandroVM,GerardoBlanco65,Directed,113,,2,"#000000"
earg1975,SOLOVENEX_,Directed,114,,0.5,"#000000"
earg1975,CaracasFC1967,Directed,115,,0.5,"#000000"
cink182,SOLOVENEX_,Directed,117,,0.5,"#000000"
Mariaaaa1712,VTVcanal8,Directed,119,,0.5,"#000000"
klon_perez,klon_perez,Directed,122,,1,"#000000"
