Id,Label,d8,d7,d6,d5,d4,d3,d2,d1,d0,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks,Authority,Hub,Comunidades,X,Y,Size,Color
foro_todofutbol,foro_todofutbol,16743,8,0,1,18,494,214,4114,17743,96,8,104,152,9,0.235609,0.269564,60835.171301,0.139298,0.005057,0.032597,0.001246,152,0.245088,0.400068,0.108221,"#c0c0c0"
miguel28gangel,miguel28gangel,140642,0,0,0,0,8738,10,1773,1430,0,1,1,247,9,0.210495,0.235294,0,0,0.000044,0,0.03126,klon_perez,0.717404,0.699044,0.001041,"#36ae00"
FutbolAnz,FutbolAnz,579,0,0,0,1,1067,0,47,423,1,1,2,0,0,0,0,0,0.000988,0.000044,0,0,0,0.778539,0.912495,0.002081,"#c0c0c0"
edgardo0512,edgardo0512,16260,0,0,0,0,8266,2,2513,336,0,1,1,5,10,0.175716,0.1919,0,0,0.000044,0,0.000012,pulidojorge,0.15521,0.788291,0.001041,"#da5ed6"
666rjrv,666rjrv,94155,0,0,0,0,809,38,765,867,0,1,1,137,3,0.444444,0.541667,0,0,0.000044,0,0,137,0.124792,0.795771,0.001041,"#c0c0c0"
RichardZapata8,RichardZapata8,16662,0,0,0,0,21815,6,2418,2236,0,2,2,268,1,1,1,0,0,0.000044,0,0.002092,SOLOVENEX_,0.365421,0.452327,0.002081,"#00b2e6"
correajorge,correajorge,1306,0,0,0,0,1862,1,100,130,0,2,2,204,1,1,1,0,0,0.000044,0,0.000004,204,0.063581,0.431104,0.002081,"#c0c0c0"
luiyi70400222,luiyi70400222,9822,0,0,0,0,68,0,23,13,0,1,1,29,1,1,1,0,0,0.000044,0,0.000106,VTVcanal8,0.453737,0.091201,0.001041,"#ff5315"
LeafarPetit,LeafarPetit,32246,0,0,0,1,34413,9,4957,2750,1,2,3,5,8,0.271681,0.311515,38.101238,0.000896,0.000049,0.000002,0.002319,pulidojorge,0.393996,0.889447,0.003122,"#da5ed6"
LaDivinaDiva,LaDivinaDiva,1177109,6,0,7,17,133945,685,6234,62655,12,3,15,137,1,1,1,6381,0.011743,0.001025,0.001217,0,137,0.142924,0.764433,0.015609,"#c0c0c0"
